# E[keV] values
1.125000000000000000e+03 2.934018757624393555e-08
1.375000000000000000e+03 4.056228204978988050e-08
1.625000000000000000e+03 4.444138008901339151e-08
1.875000000000000000e+03 5.960579490017163036e-08
2.125000000000000000e+03 8.325151227563434123e-08
2.375000000000000000e+03 6.743593073692941746e-08
2.625000000000000000e+03 7.191235059710642784e-08
2.875000000000000000e+03 7.189721159959012189e-08
3.125000000000000000e+03 3.797982708917094459e-08
3.375000000000000000e+03 1.712625602879955316e-08
3.625000000000000000e+03 6.333508000237753219e-08
3.875000000000000000e+03 9.917828020457284277e-08
4.125000000000000000e+03 1.687599045936600938e-07
4.375000000000000000e+03 2.051417546762551496e-07
4.625000000000000000e+03 3.775425540193444637e-07
4.875000000000000000e+03 3.216025602957899833e-07
5.125000000000000000e+03 2.982184426744534180e-07
