,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,200.0,2970.0,5200.0,999.9,6000.0,27.0,7.0,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.1,1.5885324418766773e-08,1.4186176187664552e-08,0.0,56.95982470865365,38.5476559642408
1,,,,,,,,,,1.3,2.3915995728366297e-08,1.3969646002217325e-08,0.2,28.865112318944167,15.903709980840823
2,,,,,,,,,,1.5,3.108491907323828e-08,1.9603344447905064e-08,0.4,56.56250244853133,6.62175374037399
3,,,,,,,,,,1.7,3.690170052238381e-08,1.934044562572534e-08,0.6,116.74552613744937,48.75137496169535
4,,,,,,,,,,1.9000000000000001,4.535341803376128e-08,2.321607280259548e-08,0.8,186.14900629744048,86.05729387677252
5,,,,,,,,,,2.1,5.4672575698426214e-08,2.8624233444110694e-08,1.0,230.71880449648557,95.73316641774599
6,,,,,,,,,,2.3000000000000003,4.900871953841071e-08,2.6174148506043993e-08,1.2,462.4864845461754,192.4475266420871
7,,,,,,,,,,2.5,4.927291886243798e-08,2.85908456175747e-08,1.4000000000000001,613.9441763541715,222.17619435555855
8,,,,,,,,,,2.7,4.943980097168434e-08,2.5684502024082743e-08,1.6,898.7568762401888,406.0125036815167
9,,,,,,,,,,2.9,5.6410937930029085e-08,2.5623335260572304e-08,1.8,1249.1884004770518,521.6919167835022
10,,,,,,,,,,3.1,2.4733051540210032e-08,1.3583849610818116e-08,2.0,1895.3551847814554,966.1917540162672
11,,,,,,,,,,3.3000000000000003,2.8196732366620226e-11,2.6627751528653488e-11,2.2,2681.6323436415328,1592.8290362003054
12,,,,,,,,,,3.5,1.1817625489226414e-08,1.1509434932272533e-08,2.4,4546.738715028781,2726.8607011361746
13,,,,,,,,,,3.7,3.102748387435254e-08,2.585632844609264e-08,2.6,8971.029302107854,4512.9413479888135
14,,,,,,,,,,3.9,6.309250110501751e-08,5.169961774306489e-08,2.8000000000000003,9934.401401432886,5325.860075736641
15,,,,,,,,,,4.1,8.684256582068033e-08,6.382242499957813e-08,3.0,18160.099482770504,8206.530308289352
16,,,,,,,,,,4.3,1.0921762814632418e-07,7.391776463120102e-08,3.2,35142.94186090924,16139.470982991294
17,,,,,,,,,,4.5,1.6418303661117187e-07,1.2472425313225301e-07,3.4,43678.88975131583,31408.821122384143
18,,,,,,,,,,4.7,1.7163684630902942e-07,2.468899668758366e-07,3.6,120188.30954577187,99407.45886290784
19,,,,,,,,,,4.9,2.6908190241035976e-07,3.4129608370529426e-07,3.8000000000000003,217293.35627248077,185156.02178823896
20,,,,,,,,,,5.1000000000000005,5.614238719645612e-07,5.204183206796388e-07,4.0,374258.0428257919,531956.3415876697
