    0.164506457439517789E+03    0.168147017996632968E+02    0.363251758441284256E+01    0.429189259461441708E+01    0.606423077038101610E+00   -0.211068951330720783E+95   -0.599146350544150419E+01    1
    0.248233860589256693E+03    0.235863248799599912E+00    0.606067353650750554E-01   -0.157138596738288916E+01    0.201068909802997142E+01   -0.863945737865191929E+94   -0.599396350544151169E+01    1
    0.348116891385789486E+02    0.232688113369836080E+00    0.870383675530167766E-01   -0.471998699789554799E+01    0.175568161414027379E+01   -0.134059111179427558E+94   -0.599646350544151474E+01    1
    0.806954040313648733E+02    0.507909509785556246E+01    0.618280937274401018E-01   -0.165669702470310920E+01    0.237595292966493510E+01   -0.110035137337613413E+94   -0.599896350544151957E+01    1
    0.745808457838218573E+02    0.146033919562833514E+02    0.608774054144493315E-01   -0.149578763301673656E+01    0.236360527797603659E+01   -0.243618600716219958E+93   -0.600146350544151552E+01    1
    0.265450191992979398E+03    0.169531276463371547E+02    0.148490180969700103E+01   -0.165979796724236822E+00    0.146641683473515583E+01   -0.202651078398386927E+93   -0.600396350544151858E+01    1
    0.448195661792335756E+02    0.163936771163738193E+01    0.777228481296550616E-01   -0.350703185051609978E+01    0.890949482229772438E+00   -0.161266194629152103E+93   -0.600646350544151630E+01    1
    0.335696419670441060E+01    0.168073279124876258E+02    0.133083048194772413E+01    0.306970827957830705E+01    0.466427031319817420E+01   -0.251928505128742478E+91   -0.600896350544152469E+01    1
    0.786089056108245785E+02    0.167825121268363091E+02    0.383648999030683502E+00    0.439174972703280808E+01    0.709814200728406952E+00   -0.902575943883391176E+89   -0.601146350544151886E+01    1
    0.298243701406569812E+03    0.155400787558197937E+02    0.167592327360978111E+01    0.225832002098910811E+01    0.142786539412675584E+01   -0.117387934153654682E+88   -0.601396350544150859E+01    1
    0.828477057514047743E+01    0.684651745517107946E+00    0.672578429790702675E-01   -0.183800459217850265E+01    0.169394254703508496E+00   -0.787309157620996006E+87   -0.601646350544151520E+01    1
    0.790241822873086903E+02    0.262708354064076843E+01    0.754597064734320588E-01   -0.268215475610558585E+01    0.175528618492574529E+01   -0.699858746763921802E+86   -0.601896350544151559E+01    1
    0.100408661298983262E+02    0.146263986827997972E+02    0.653232656708282039E-01   -0.146063568253429943E+01    0.926101348945053582E+00   -0.646248475021001703E+85   -0.602146350544152753E+01    1
    0.526948569988367126E+02    0.149082894853985373E+02    0.370831853856362326E+01   -0.618614805417015523E+00    0.312768716010865822E+01   -0.124258120227678990E+85   -0.602396350544153325E+01    1
    0.187036183489581362E+03    0.172673909359878444E+02    0.192907349403554723E+00    0.318213974072491590E+01    0.239332483779248628E+01   -0.120205773184473638E+85   -0.602646350544152298E+01    1
    0.132319085092505532E+03    0.151967935458467238E+02    0.881573201347202628E+00    0.204396636798399989E+01    0.413774291392760762E+01   -0.146036037967433140E+84   -0.602896350544150561E+01    1
    0.907769571531408275E+02    0.156667556026107651E+02    0.357655976284892485E+00    0.378585657392178732E+01    0.115733631029390049E+01   -0.145614854827293196E+83   -0.603146350544150955E+01    1
    0.439945128547920419E+02    0.148471961524414979E+02    0.204039307664253977E+01   -0.120028823027921461E+01    0.380809288303534021E+01   -0.652488745406737327E+82   -0.603396350544152682E+01    1
    0.209995450912791846E+02    0.473708175760717609E+00    0.427587574837938467E-01    0.126143847523944030E+01    0.483293720896334555E+01   -0.365854502205089813E+81   -0.603646350544153165E+01    1
    0.531771817300939986E+01    0.164232320219380483E+02    0.310282494607951320E+00    0.266807922510248163E+01    0.290812949264302967E+01   -0.199441862743968036E+81   -0.603896350544152227E+01    1
    0.360182061513738176E+03    0.151436226754803496E+02    0.700834747577888106E+00   -0.323736341632171576E+00    0.313434927368416139E+01   -0.280857435042421027E+80   -0.604146350544151556E+01    1
