# E[keV] values
1.125000000000000000e+03 3.438702982868196666e-08
1.375000000000000000e+03 2.844319671134262166e-08
1.625000000000000000e+03 4.597145549783904007e-08
1.875000000000000000e+03 5.953156868747048992e-08
2.125000000000000000e+03 9.583341975209661422e-08
2.375000000000000000e+03 8.439768326673002720e-08
2.625000000000000000e+03 9.278807727695520799e-08
2.875000000000000000e+03 7.469728870880407517e-08
3.125000000000000000e+03 5.062815088009492947e-08
3.375000000000000000e+03 2.318630899040462138e-08
3.625000000000000000e+03 8.389418517176326615e-08
3.875000000000000000e+03 1.127549339786697301e-07
4.125000000000000000e+03 2.237554169044903497e-07
4.375000000000000000e+03 5.456382522652656981e-07
4.625000000000000000e+03 3.342962128963371396e-07
4.875000000000000000e+03 4.540974154137121629e-08
5.125000000000000000e+03 1.108413890674691004e-06
