# E[keV] values
0.000000000000000000e+00 4.760704868041950988e+01
2.500000000000000000e+02 3.639664450236753623e+01
5.000000000000000000e+02 9.323501852962370151e+01
7.500000000000000000e+02 1.666218332004491742e+02
1.000000000000000000e+03 2.678584471571937229e+02
1.250000000000000000e+03 5.090390093187419893e+02
1.500000000000000000e+03 7.050560412129512997e+02
1.750000000000000000e+03 1.345739778924877555e+03
2.000000000000000000e+03 2.320719165464029174e+03
2.250000000000000000e+03 3.876110312352199344e+03
2.500000000000000000e+03 9.082710878392284940e+03
2.750000000000000000e+03 9.729664664908306804e+03
3.000000000000000000e+03 2.822377491111508061e+04
3.250000000000000000e+03 4.178656281468811358e+04
3.500000000000000000e+03 1.008670789710054960e+05
3.750000000000000000e+03 1.648336945131855609e+05
4.000000000000000000e+03 4.614664971012032474e+05
