# E[keV] values
0.000000000000000000e+00 4.845627939173708398e+01
2.500000000000000000e+02 3.991214338349195145e+01
5.000000000000000000e+02 7.715816208753872729e+01
7.500000000000000000e+02 1.448057524441188946e+02
1.000000000000000000e+03 2.840962435329165032e+02
1.250000000000000000e+03 5.215146984346638419e+02
1.500000000000000000e+03 8.194794459127880373e+02
1.750000000000000000e+03 1.259374862305105580e+03
2.000000000000000000e+03 1.875481998382787197e+03
2.250000000000000000e+03 4.331112221976076398e+03
2.500000000000000000e+03 7.964996845040087464e+03
2.750000000000000000e+03 1.397354832303318108e+04
3.000000000000000000e+03 3.266689016794704366e+04
3.250000000000000000e+03 3.584258717153959878e+04
3.500000000000000000e+03 1.024107806724008115e+05
3.750000000000000000e+03 2.350643939205600764e+05
4.000000000000000000e+03 4.880152480315907742e+05
