# E[keV] values
0.000000000000000000e+00 4.767656086827753370e+01
2.000000000000000000e+02 2.725843119708603979e+01
4.000000000000000000e+02 5.285601789116675775e+01
6.000000000000000000e+02 8.210260022570361116e+01
8.000000000000000000e+02 7.504600157514131809e+01
1.000000000000000000e+03 8.861009477920440247e+01
1.200000000000000000e+03 1.172562318658256260e+02
1.400000000000000000e+03 1.067971114486201856e+02
1.600000000000000000e+03 1.086735001940538154e+02
1.800000000000000000e+03 1.357728100468905836e+02
2.000000000000000000e+03 1.174920287049163221e+02
2.200000000000000000e+03 1.599220135177213535e+02
2.400000000000000000e+03 1.660443606401533998e+02
2.600000000000000000e+03 2.215109940243671645e+02
2.800000000000000000e+03 1.992212588161343660e+02
3.000000000000000000e+03 2.425055984145239165e+02
3.200000000000000000e+03 4.544956944032985575e+02
3.400000000000000000e+03 4.041037093816257766e+02
3.600000000000000000e+03 7.730295736543756675e+02
3.800000000000000000e+03 1.124096588343723170e+03
4.000000000000000000e+03 2.627773847156647662e+03
