# E[keV] values
1.100000000000000000e+03 2.427352199757497048e-08
1.300000000000000000e+03 2.847669263021700582e-08
1.500000000000000000e+03 4.035832275558337248e-08
1.700000000000000000e+03 4.792274058609161155e-08
1.900000000000000000e+03 5.306685395423146253e-08
2.100000000000000000e+03 7.045729628286380253e-08
2.300000000000000000e+03 6.631575051004708585e-08
2.500000000000000000e+03 6.463454486240892092e-08
2.700000000000000000e+03 6.243157401681396399e-08
2.900000000000000000e+03 6.622270845777011183e-08
3.100000000000000000e+03 2.925941020379984196e-08
3.300000000000000000e+03 3.172727703464045156e-11
3.500000000000000000e+03 1.463457505196728801e-08
3.700000000000000000e+03 2.481668371795399811e-08
3.900000000000000000e+03 9.010397148863486914e-08
4.100000000000000000e+03 9.990347309261515142e-08
4.300000000000000000e+03 1.455422358113048587e-07
4.500000000000000000e+03 2.235939327555871397e-07
4.700000000000000000e+03 2.478538043760450953e-08
4.900000000000000000e+03 4.752087450098440897e-07
5.100000000000000000e+03 9.794671452029878873e-07
