# E[keV] values
0.000000000000000000e+00 3.528668248475992897e+01
2.000000000000000000e+02 2.183129517983912038e+01
4.000000000000000000e+02 6.019102654847405631e+01
6.000000000000000000e+02 1.045280271343531666e+02
8.000000000000000000e+02 1.719392175193094943e+02
1.000000000000000000e+03 2.315515842096956476e+02
1.200000000000000000e+03 3.201825096429623727e+02
1.400000000000000000e+03 5.921842597545756917e+02
1.600000000000000000e+03 7.733845046561043546e+02
1.800000000000000000e+03 1.305626333600150247e+03
2.000000000000000000e+03 1.816556949430880422e+03
2.200000000000000000e+03 2.811637046789546730e+03
2.400000000000000000e+03 4.283867842241076687e+03
2.600000000000000000e+03 1.049413589323731503e+04
2.800000000000000000e+03 1.123607414482621971e+04
3.000000000000000000e+03 1.603264432815443615e+04
3.200000000000000000e+03 3.518451179755781050e+04
3.400000000000000000e+03 5.331810142663297302e+04
3.600000000000000000e+03 1.693714405926709878e+05
3.800000000000000000e+03 2.382878200008298736e+05
4.000000000000000000e+03 3.614854145073181717e+05
