# E[keV] values
1.100000000000000000e+03 1.658546935860084783e-08
1.300000000000000000e+03 2.427206443816070824e-08
1.500000000000000000e+03 3.885219761284788132e-08
1.700000000000000000e+03 3.873334822285172664e-08
1.900000000000000000e+03 5.499320902241879683e-08
2.100000000000000000e+03 6.615757525307211933e-08
2.300000000000000000e+03 5.478701553987037302e-08
2.500000000000000000e+03 4.931610983810160159e-08
2.700000000000000000e+03 5.370670134697021180e-08
2.900000000000000000e+03 5.359033971659499294e-08
3.100000000000000000e+03 2.715607260558400358e-08
3.300000000000000000e+03 2.584627756100593351e-11
3.500000000000000000e+03 7.662941078684541561e-09
3.700000000000000000e+03 2.376320160609805870e-08
3.900000000000000000e+03 1.146323796721553344e-07
4.100000000000000000e+03 1.160590760031419810e-07
4.300000000000000000e+03 5.415808004726903095e-08
4.500000000000000000e+03 1.828870222592437927e-07
4.700000000000000000e+03 5.464340515241579979e-07
4.900000000000000000e+03 4.110085787460393055e-07
5.100000000000000000e+03 8.181007520132354473e-07
