# E[keV] values
1.100000000000000000e+03 1.754551902228543944e-08
1.300000000000000000e+03 2.087082743234077339e-08
1.500000000000000000e+03 3.130508895617491234e-08
1.700000000000000000e+03 3.346528866495131845e-08
1.900000000000000000e+03 4.237494379891537354e-08
2.100000000000000000e+03 5.659038954679101578e-08
2.300000000000000000e+03 4.275821121050037557e-08
2.500000000000000000e+03 5.396466825851725521e-08
2.700000000000000000e+03 6.133653731245137274e-08
2.900000000000000000e+03 5.662847757711404587e-08
3.100000000000000000e+03 2.394211872573815162e-08
3.300000000000000000e+03 4.840179874002237468e-11
3.500000000000000000e+03 1.680959157790067730e-08
3.700000000000000000e+03 3.598775993329918683e-08
3.900000000000000000e+03 5.172097311865485518e-08
4.100000000000000000e+03 7.422356847055689640e-08
4.300000000000000000e+03 1.416209775540941900e-07
4.500000000000000000e+03 2.791007893330221812e-07
4.700000000000000000e+03 2.467296671015161008e-07
4.900000000000000000e+03 8.635367572376035717e-08
5.100000000000000000e+03 5.479877141665587502e-07
