# E[keV] values
1.100000000000000000e+03 2.489533700101448041e-09
1.300000000000000000e+03 3.157700796091310434e-09
1.500000000000000000e+03 2.846073239213094227e-09
1.700000000000000000e+03 2.574859895023059300e-09
1.900000000000000000e+03 2.224390102648458240e-09
2.100000000000000000e+03 1.989420506020266092e-09
2.300000000000000000e+03 1.506165620048986164e-09
2.500000000000000000e+03 1.082090589033739385e-09
2.700000000000000000e+03 8.796800256871107216e-10
2.900000000000000000e+03 7.124176880773972901e-10
3.100000000000000000e+03 3.004734065874867406e-10
3.300000000000000000e+03 2.640428555576136146e-13
3.500000000000000000e+03 1.020019259565217814e-10
3.700000000000000000e+03 1.022870514507465229e-10
3.900000000000000000e+03 2.280716755859874232e-10
4.100000000000000000e+03 1.301594321821506263e-10
4.300000000000000000e+03 1.320879560520946352e-10
4.500000000000000000e+03 2.216957850327087998e-10
4.700000000000000000e+03 2.756012216495790000e-10
4.900000000000000000e+03 3.843669238334860560e-10
5.100000000000000000e+03 2.375147026925493448e-10
