# E[keV] values
0.000000000000000000e+00 5.812850670220725391e+01
2.000000000000000000e+02 2.761525400496714866e+01
4.000000000000000000e+02 5.698315368927442393e+01
6.000000000000000000e+02 1.220881354278591999e+02
8.000000000000000000e+02 2.251130092253652037e+02
1.000000000000000000e+03 2.516317147363795641e+02
1.200000000000000000e+03 5.774760568153592430e+02
1.400000000000000000e+03 6.049930224402874046e+02
1.600000000000000000e+03 1.120760052637364424e+03
1.800000000000000000e+03 1.579366421949138839e+03
2.000000000000000000e+03 2.589629419267700541e+03
2.200000000000000000e+03 3.746970222953631037e+03
2.400000000000000000e+03 6.658975337934348318e+03
2.600000000000000000e+03 8.176142880928392515e+03
2.800000000000000000e+03 9.804199605235606214e+03
3.000000000000000000e+03 2.423729902737769953e+04
3.200000000000000000e+03 4.502733593971721712e+04
3.400000000000000000e+03 6.098133030649302236e+04
3.600000000000000000e+03 8.981684473836896359e+04
3.800000000000000000e+03 2.402706518191843643e+05
4.000000000000000000e+03 4.480025304710718920e+05
