# E[keV] values
0.000000000000000000e+00 5.596837802640900605e+01
2.000000000000000000e+02 1.851753249972693638e+01
4.000000000000000000e+02 6.288579199284187382e+01
6.000000000000000000e+02 1.388069930873463420e+02
8.000000000000000000e+02 2.173941767721496205e+02
1.000000000000000000e+03 2.724683318567163610e+02
1.200000000000000000e+03 4.551852292579389996e+02
1.400000000000000000e+03 5.515784954327690457e+02
1.600000000000000000e+03 8.916809412232561272e+02
1.800000000000000000e+03 1.159949072780510278e+03
2.000000000000000000e+03 1.842224424785101746e+03
2.200000000000000000e+03 2.757205211270597829e+03
2.400000000000000000e+03 3.709341249958789376e+03
2.600000000000000000e+03 9.961009989633639634e+03
2.800000000000000000e+03 8.803439187088000836e+03
3.000000000000000000e+03 1.581872467505084933e+04
3.200000000000000000e+03 4.645394718857825501e+04
3.400000000000000000e+03 5.063590484080271563e+04
3.600000000000000000e+03 1.332288616161900572e+05
3.800000000000000000e+03 2.741962004110036069e+05
4.000000000000000000e+03 2.886679749716884107e+05
