# E[keV] values
0.000000000000000000e+00 5.910922045941858727e+01
2.500000000000000000e+02 3.678487531301767888e+01
5.000000000000000000e+02 8.925945548671073482e+01
7.500000000000000000e+02 2.050734265722291241e+02
1.000000000000000000e+03 2.651841585616118664e+02
1.250000000000000000e+03 5.028564279555733947e+02
1.500000000000000000e+03 9.523173844798343453e+02
1.750000000000000000e+03 1.202393425749449079e+03
2.000000000000000000e+03 2.202060880178436946e+03
2.250000000000000000e+03 3.876894583842941302e+03
2.500000000000000000e+03 8.067288411181367337e+03
2.750000000000000000e+03 1.270303889109072952e+04
3.000000000000000000e+03 2.300332425024028271e+04
3.250000000000000000e+03 4.213210817734636657e+04
3.500000000000000000e+03 1.219221368316811859e+05
3.750000000000000000e+03 2.445076576936215570e+05
4.000000000000000000e+03 2.796603286606215406e+05
4.250000000000000000e+03 1.587986110521150054e+06
