# E[keV] values
0.000000000000000000e+00 4.069063190318717460e+01
2.500000000000000000e+02 4.647272861643434538e+01
5.000000000000000000e+02 6.964440752389079137e+01
7.500000000000000000e+02 1.717661499370499314e+02
1.000000000000000000e+03 2.644564467009767554e+02
1.250000000000000000e+03 4.382853627968039518e+02
1.500000000000000000e+03 8.202775267466140576e+02
1.750000000000000000e+03 1.416797265311272668e+03
2.000000000000000000e+03 2.181463046132731506e+03
2.250000000000000000e+03 3.058667207527528717e+03
2.500000000000000000e+03 6.642126595497798917e+03
2.750000000000000000e+03 1.058113297868813424e+04
3.000000000000000000e+03 2.200588905619276557e+04
3.250000000000000000e+03 4.586075544122805877e+04
3.500000000000000000e+03 8.320772697186682490e+04
3.750000000000000000e+03 1.513267621130700863e+05
4.000000000000000000e+03 2.853350770301858429e+05
4.250000000000000000e+03 7.856098663008040749e+05
