# E[keV] values
1.125000000000000000e+03 3.124212732961275357e-08
1.375000000000000000e+03 3.176509382311676693e-08
1.625000000000000000e+03 4.130939827398684636e-08
1.875000000000000000e+03 5.674257541685501689e-08
2.125000000000000000e+03 7.836318483793876883e-08
2.375000000000000000e+03 7.004485882245970481e-08
2.625000000000000000e+03 6.710145930700205969e-08
2.875000000000000000e+03 6.196952204089136739e-08
3.125000000000000000e+03 3.311012287369488012e-08
3.375000000000000000e+03 1.462608342314556557e-08
3.625000000000000000e+03 3.976583636221889708e-08
3.875000000000000000e+03 6.431512433338315873e-08
4.125000000000000000e+03 1.996275563583925275e-07
4.375000000000000000e+03 2.532601760032364956e-07
4.625000000000000000e+03 2.928230230216670548e-07
4.875000000000000000e+03 1.761426069482305588e-07
5.125000000000000000e+03 8.314393547500930159e-07
5.375000000000000000e+03 3.204906112947871956e-06
