# E[keV] values
1.125000000000000000e+03 2.152855119982039886e-08
1.375000000000000000e+03 2.878726461060361166e-08
1.625000000000000000e+03 3.494161617228469441e-08
1.875000000000000000e+03 4.948164241579333079e-08
2.125000000000000000e+03 7.794225306876230867e-08
2.375000000000000000e+03 6.594702798355086882e-08
2.625000000000000000e+03 7.669765042270476847e-08
2.875000000000000000e+03 6.587876826023619158e-08
3.125000000000000000e+03 2.991533207023350383e-08
3.375000000000000000e+03 1.789018945660355660e-08
3.625000000000000000e+03 6.136419574281828703e-08
3.875000000000000000e+03 5.988235863477535286e-08
4.125000000000000000e+03 1.502943221753642610e-07
4.375000000000000000e+03 1.566694806441667356e-07
4.625000000000000000e+03 3.845714741537308769e-07
4.875000000000000000e+03 1.800576125194089202e-07
5.125000000000000000e+03 4.155766346059447507e-07
5.375000000000000000e+03 2.444554712654044010e-06
