,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,120.0,2970.5,5200.0,999.9,6000.0,24.2,5.271114729701861,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.02,1.5131998468187286e-08,7.560872570671522e-09,0.0,47.554701023558,34.10820495652445
1,,,,,,,,,,1.1400000000000001,2.1290711160221856e-08,9.694108403476348e-09,0.12,53.497152172657394,30.511062391837058
2,,,,,,,,,,1.26,2.1739716466708444e-08,8.652903161955211e-09,0.24,32.33430029672608,23.106493797083694
3,,,,,,,,,,1.3800000000000001,2.3708992080165506e-08,1.060419429854016e-08,0.36,56.799161617805446,9.979618332839244
4,,,,,,,,,,1.5,3.213112442393169e-08,1.173151031373267e-08,0.48,113.26745903194866,59.590412679113854
5,,,,,,,,,,1.62,2.8033564391125773e-08,1.0497315845670084e-08,0.6,102.92507887983136,68.88014404350977
6,,,,,,,,,,1.74,3.737621495690193e-08,1.4709688799658286e-08,0.72,235.33331488992823,114.37621908155364
7,,,,,,,,,,1.86,4.4619175815913675e-08,1.6622794986793896e-08,0.84,229.03458345972408,117.43412208503784
8,,,,,,,,,,1.98,4.3728922602447355e-08,1.4836378282529239e-08,0.96,315.1723668781139,157.39841248242368
9,,,,,,,,,,2.1,5.4016949725249396e-08,1.945533221099816e-08,1.08,553.2054285532025,247.8940283978178
10,,,,,,,,,,2.22,4.6299059858798525e-08,1.8157765379622906e-08,1.2,525.8000540918632,257.39630774040097
11,,,,,,,,,,2.34,4.6473450346499235e-08,1.8433242869836412e-08,1.32,752.0813961596735,350.33346253375225
12,,,,,,,,,,2.46,5.415067382950516e-08,1.8477323639437845e-08,1.44,957.6577630156659,445.2257960750079
13,,,,,,,,,,2.58,4.177317973474241e-08,1.8052985135168242e-08,1.56,1065.913932432393,456.77534727942077
14,,,,,,,,,,2.7,5.3166245975051584e-08,2.0185758617958977e-08,1.68,1638.6437788129151,625.7473499571331
15,,,,,,,,,,2.82,4.995227927428531e-08,1.9320936725960967e-08,1.8,1956.899697315385,820.6223462412897
16,,,,,,,,,,2.94,4.4107198048174605e-08,2.0812831096971453e-08,1.92,2554.1960855477446,1109.186951613532
17,,,,,,,,,,3.06,3.727600641728529e-08,1.986953309724222e-08,2.04,3695.157657561085,1338.5788423685035
18,,,,,,,,,,3.18,2.967923477533852e-08,1.5387083390094652e-08,2.16,4269.7623250393735,1743.069949783769
19,,,,,,,,,,3.3000000000000003,2.192941765936676e-08,1.3715052418486535e-08,2.2800000000000002,6043.945137299773,2564.8622104033984
20,,,,,,,,,,3.42,2.7361505889908982e-09,2.4694942571910777e-09,2.4,7594.015032893056,2785.1403261177347
21,,,,,,,,,,3.54,6.446095615787951e-08,4.379771030161603e-08,2.52,11857.73561437668,4718.875646942874
22,,,,,,,,,,3.66,4.230680035674905e-08,3.0646719660949486e-08,2.64,12560.459645853987,5855.754765982969
23,,,,,,,,,,3.7800000000000002,6.857421881809653e-08,3.887997995405202e-08,2.7600000000000002,13077.14015961287,5314.954154657609
24,,,,,,,,,,3.9,6.873736975240688e-08,3.9855333187570905e-08,2.88,21331.76551925797,7352.084195003656
25,,,,,,,,,,4.0200000000000005,3.237564158948486e-10,8.61580140699501e-10,3.0,29488.443712443797,10729.232611172753
26,,,,,,,,,,4.14,2.0256572224246034e-07,1.3470335213724172e-07,3.12,44414.885118997634,16362.326865244228
27,,,,,,,,,,4.26,9.562581881106496e-08,6.689680386206768e-08,3.24,46465.838759144404,13853.708356693547
28,,,,,,,,,,4.38,1.1127916291350895e-07,7.493138963965492e-08,3.36,86975.6774851918,29611.341194665933
29,,,,,,,,,,4.5,1.3019803658377075e-07,8.734896353002123e-08,3.48,84567.63463639436,48063.626477609854
30,,,,,,,,,,4.62,7.417208907030177e-07,5.438788067744725e-07,3.6,122538.92586347311,65440.09117314391
31,,,,,,,,,,4.74,7.080893078384751e-07,4.992294081288937e-07,3.72,219300.15191158507,114066.97592568136
32,,,,,,,,,,4.86,9.409882517040115e-08,1.7211968132832632e-07,3.84,338435.77154476976,210962.6617896862
33,,,,,,,,,,4.98,3.5361519353113825e-07,4.1827806759525435e-07,3.96,509519.16425302,326823.24518177984
34,,,,,,,,,,5.1000000000000005,1.6223314914703137e-06,2.2195119532988016e-06,4.08,236091.01279701816,261208.52172558018
