,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,180.0,2970.0,5200.0,999.9,6000.0,27.0,7.0,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.17,1.7274442813066553e-09,8.798520279429015e-09,0.0,26.34163976022425,16.721210197074534
1,,,,,,,,,,1.35,1.4923334501346034e-09,9.488551837370838e-09,0.18,40.45191106853753,20.732257475024802
2,,,,,,,,,,1.53,1.5333462206766263e-09,1.3607468434517614e-08,0.36,54.897856838160074,11.490793745234285
3,,,,,,,,,,1.71,1.3510440303916614e-09,1.5551129490008315e-08,0.54,76.60549566703448,37.84953448101393
4,,,,,,,,,,1.8900000000000001,1.4475947268758114e-09,2.2241473267271415e-08,0.72,97.85766214020806,75.45470927981424
5,,,,,,,,,,2.07,1.3905690233083193e-09,2.6899090547174983e-08,0.9,91.77150237592109,102.09566829198528
6,,,,,,,,,,2.25,1.0821379089302304e-09,2.5740772618645924e-08,1.08,109.9825859800907,195.4612172429252
7,,,,,,,,,,2.43,7.309680268523171e-10,2.415168733553917e-08,1.26,127.7727832890609,317.0324984599437
8,,,,,,,,,,2.61,6.153789886320034e-10,2.3091272885646445e-08,1.44,162.5222542672453,519.5077554680561
9,,,,,,,,,,2.79,3.833081446670013e-10,1.9216342984133182e-08,1.62,153.95239527262433,716.0827412538612
10,,,,,,,,,,2.97,2.863158046664902e-10,2.0392111314047802e-08,1.8,174.51958362233168,1018.4475369893631
11,,,,,,,,,,3.15,1.5125577393774745e-10,1.2579340471338887e-08,1.98,221.84910777089223,1594.488989003341
12,,,,,,,,,,3.33,7.006534457047149e-11,7.0057466344083695e-09,2.16,253.01089921644353,2396.043740740796
13,,,,,,,,,,3.5100000000000002,1.3547987873754024e-10,1.8759234697142392e-08,2.34,266.6285460011365,2795.591148777439
14,,,,,,,,,,3.69,6.307130748049249e-11,8.396153079105132e-09,2.52,404.4727026377637,6355.479303827158
15,,,,,,,,,,3.87,7.991547149597274e-11,1.904888728695627e-08,2.7,376.26304412165297,7770.736003097546
16,,,,,,,,,,4.05,1.6803000662106018e-10,5.142983170211411e-08,2.88,353.4309845669056,11865.216824178377
17,,,,,,,,,,4.23,1.1248823525970396e-10,3.7983655475814747e-08,3.06,544.1528153183137,22694.56557630696
18,,,,,,,,,,4.41,4.3068954444118524e-10,1.515295963605322e-07,3.24,532.7032766025287,32680.148821822175
19,,,,,,,,,,4.59,1.687314010680645e-10,9.468976102724934e-08,3.42,990.0487924985633,55823.396267084994
20,,,,,,,,,,4.7700000000000005,3.5768639265211825e-10,2.6292231656844716e-07,3.6,1126.3053567909956,100053.39151080177
21,,,,,,,,,,4.95,6.837768664637006e-10,6.485447443188044e-07,3.7800000000000002,2414.2944012745857,253047.18732830315
22,,,,,,,,,,5.13,9.08859272073961e-10,8.416453786221291e-07,3.96,3151.175233351716,269007.83550339995
