,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,250.0,2970.0,5600.0,999.9,6000.0,27.0,7.0,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.125,2.3013032762597764e-08,1.3664306329828208e-08,0.0,48.7235234983488,26.08400078297924
1,,,,,,,,,,1.375,2.682976890925605e-08,1.2932995172590714e-08,0.25,41.290368245214275,9.52427883612416
2,,,,,,,,,,1.625,3.508651938532167e-08,1.5112044043599864e-08,0.5,75.17037757949794,21.789865592675753
3,,,,,,,,,,1.875,4.9260834098947464e-08,1.9244645132862247e-08,0.75,159.92955718274843,56.075435830718334
4,,,,,,,,,,2.125,6.634752326753999e-08,2.769838693393318e-08,1.0,246.9412871667267,90.14114324062416
5,,,,,,,,,,2.375,5.633258888674533e-08,2.7223567260933817e-08,1.25,426.2944579027314,189.77081557640128
6,,,,,,,,,,2.625,5.96817558671796e-08,2.670945628485923e-08,1.5,719.7542524653395,305.3291007826466
7,,,,,,,,,,2.875,5.8628741143152964e-08,2.11154263151178e-08,1.75,1202.125892782117,467.2007966501883
8,,,,,,,,,,3.125,3.2333633516891773e-08,1.8458159237351427e-08,2.0,1937.4601200648422,760.4669667652934
9,,,,,,,,,,3.375,1.1647214365798723e-08,1.1936496015777032e-08,2.25,3336.9890689883996,1591.5141039749642
10,,,,,,,,,,3.625,4.281686292941601e-08,2.788126075652265e-08,2.5,7284.1836307732665,3206.102197773598
11,,,,,,,,,,3.875,3.510131123136881e-08,3.0508917071785224e-08,2.75,10592.057133740473,4950.906075300174
12,,,,,,,,,,4.125,9.390414142428913e-08,7.390564829902282e-08,3.0,21483.71099946912,9375.007967421865
13,,,,,,,,,,4.375,1.686262206156313e-07,1.281667539743901e-07,3.25,37959.06685689191,11014.715427289884
14,,,,,,,,,,4.625,1.72838610706661e-07,1.4048831824680745e-07,3.5,87754.78429891348,49922.97852449636
15,,,,,,,,,,4.875,1.1004242213494801e-07,1.1353946163568659e-07,3.75,148972.6427150188,97804.5834984658
16,,,,,,,,,,5.125,3.8380175445446297e-07,3.2923378236470555e-07,4.0,354581.9849372253,212926.29893895838
17,,,,,,,,,,5.375,1.8170731761205017e-06,1.7144803413770872e-06,4.25,978579.7294750687,1005976.0727013922
