,keV_per_bin,Ex_min,Ex_max,Eg_min,Eg_max,Gg,Gg_err,rhoSn,rhoSn_err,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,250.0,2970.5,5200.0,999.9,6000.0,24.2,5.271114729701861,29194819.207288582,4442689.879370002,,,,,,
0,,,,,,,,,,1.125,1.8229535375572922e-08,6.972953074058391e-09,0.0,18.436306704933024,5.134064842531078
1,,,,,,,,,,1.375,2.3908499287488966e-08,7.472180844691338e-09,0.25,33.89882040486109,4.407208136684012
2,,,,,,,,,,1.625,2.8419614210465038e-08,8.263479341615266e-09,0.5,76.84907217165902,15.568889552160798
3,,,,,,,,,,1.875,3.683083635295917e-08,1.1331317763355035e-08,0.75,135.89313996223976,32.280741427153814
4,,,,,,,,,,2.125,4.719883153044366e-08,1.2607022039949801e-08,1.0,242.8493757823962,57.6642973418673
5,,,,,,,,,,2.375,4.8555937073510646e-08,1.4226660643071202e-08,1.25,436.67453128301315,104.08297199784403
6,,,,,,,,,,2.625,5.174561169349764e-08,1.403132061509565e-08,1.5,801.0171361771374,166.90365830297435
7,,,,,,,,,,2.875,5.573338928043048e-08,1.4049084680361953e-08,1.75,1357.2323661454677,331.51593453539476
8,,,,,,,,,,3.125,4.034192253682048e-08,1.1222909876114839e-08,2.0,2178.6359856635268,481.8355207231971
9,,,,,,,,,,3.375,4.0102607026282336e-08,1.8555677497208542e-08,2.25,3911.3544759982874,1105.8924762649458
10,,,,,,,,,,3.625,9.955046780736256e-08,2.9619475312228915e-08,2.5,7797.112782620867,2143.6209647133837
11,,,,,,,,,,3.875,1.1501566974438574e-07,3.599390356429943e-08,2.75,11697.07154375926,3268.598215483642
12,,,,,,,,,,4.125,2.436618576076816e-07,7.653895326081e-08,3.0,21890.22960282524,5216.294529143979
13,,,,,,,,,,4.375,3.163053115991534e-07,8.133402477433215e-08,3.25,40880.55203751731,7845.25955233437
14,,,,,,,,,,4.625,4.808977693893424e-07,2.1602581825171753e-07,3.5,90541.87131111641,26665.16199334644
15,,,,,,,,,,4.875,4.997723849369229e-07,2.7839904963248066e-07,3.75,155554.37035471262,67622.2036079547
16,,,,,,,,,,5.125,1.1001578078341305e-06,9.82599338482731e-07,4.0,355037.0331921117,181060.00934554258
