2.6	2.07233e-08	2.3392e-08	4.41154e-08	0	3.05491e-09	1.53077e-08	1.83626e-08	7.70621e-09	1.63403e-08	2.40465e-08	2.10645e-07	1.94651e-08	2.3011e-07	7.6055e-08
2.7	2.2232e-08	2.50455e-08	4.72775e-08	0	2.40186e-09	1.29033e-08	1.53051e-08	6.29948e-09	1.5747e-08	2.20464e-08	2.25432e-07	1.87633e-08	2.44195e-07	8.1453e-08
2.8	2.38657e-08	2.68393e-08	5.07051e-08	0	1.92789e-09	1.04716e-08	1.23995e-08	5.2107e-09	1.31935e-08	1.84042e-08	2.41292e-07	1.50281e-08	2.5632e-07	8.71329e-08
2.9	2.56418e-08	2.87822e-08	5.4424e-08	0	1.57542e-09	8.37691e-09	9.95234e-09	4.35956e-09	1.01929e-08	1.45524e-08	2.58341e-07	1.09701e-08	2.69311e-07	9.31046e-08
3	2.75806e-08	3.08832e-08	5.84639e-08	0	1.30745e-09	6.7019e-09	8.00935e-09	3.68652e-09	7.662e-09	1.13485e-08	2.76713e-07	7.86036e-09	2.84573e-07	9.9379e-08
3.1	2.97062e-08	3.31523e-08	6.28585e-08	0	1.09968e-09	5.40276e-09	6.50244e-09	3.14802e-09	5.77661e-09	8.92463e-09	2.96555e-07	5.7194e-09	3.02274e-07	1.05967e-07
3.2	3.20475e-08	3.55995e-08	6.7647e-08	0	9.35757e-10	4.40313e-09	5.33889e-09	2.7122e-09	4.42435e-09	7.13655e-09	3.18035e-07	4.27052e-09	3.22306e-07	1.12882e-07
3.3	3.46393e-08	3.82358e-08	7.2875e-08	0	8.04421e-10	3.63134e-09	4.43576e-09	2.35564e-09	3.45561e-09	5.81124e-09	3.41344e-07	3.27504e-09	3.44619e-07	1.20136e-07
3.4	3.75238e-08	4.10727e-08	7.85965e-08	0	6.9775e-10	3.03019e-09	3.72794e-09	2.06096e-09	2.75211e-09	4.81307e-09	3.66698e-07	2.57367e-09	3.69272e-07	1.27742e-07
3.5	4.0753e-08	4.41224e-08	8.48754e-08	0	6.10054e-10	2.55669e-09	3.16674e-09	1.81514e-09	2.23158e-09	4.04672e-09	3.94341e-07	2.06616e-09	3.96407e-07	1.35717e-07
