# E[keV] values
1.100000000000000000e+03 3.460683084895692853e-08
1.300000000000000000e+03 3.789611095269200848e-08
1.500000000000000000e+03 5.883214482323961962e-08
1.700000000000000000e+03 5.846539961454315477e-08
1.900000000000000000e+03 7.738307986610926165e-08
2.100000000000000000e+03 8.611116311853443084e-08
2.300000000000000000e+03 8.291812393319722616e-08
2.500000000000000000e+03 8.212193278500700482e-08
2.700000000000000000e+03 8.186844476108213002e-08
2.900000000000000000e+03 8.461050591271747384e-08
3.100000000000000000e+03 3.461007007423812924e-08
3.300000000000000000e+03 3.446201960846771139e-11
3.500000000000000000e+03 1.675025395305766171e-08
3.700000000000000000e+03 6.234613068034967756e-08
3.900000000000000000e+03 1.071275053280635061e-07
4.100000000000000000e+03 1.812690800522212810e-07
4.300000000000000000e+03 1.540186500973671770e-07
4.500000000000000000e+03 1.331620084061813760e-07
4.700000000000000000e+03 3.014676871031347179e-07
4.900000000000000000e+03 3.564122344900719855e-07
