,E_gamma,gSF-median,gSF-error,E_x,NLD-median,NLD-error
0,1.125,3.7321549719304e-08,1.9127385373554272e-08,0.0,49.711028183829136,27.234999350954375
1,1.375,4.33118920589184e-08,2.0463667438532303e-08,0.25,40.495461053416996,8.812780085370242
2,1.625,5.588491545949608e-08,2.081635907287254e-08,0.5,76.45014080452222,22.56053442196368
3,1.875,7.876159169020416e-08,2.573229489590838e-08,0.75,154.766133559326,54.365957540655074
4,2.125,1.0540903906182754e-07,3.6866778623499706e-08,1.0,247.97866674496603,93.81533225408464
5,2.375,9.08328440216864e-08,3.766097422452037e-08,1.25,451.69515687508255,156.9317070786966
6,2.625,9.807671653933709e-08,3.614471881119573e-08,1.5,754.7537964212324,284.1457049106308
7,2.875,9.584555335300985e-08,2.7733143416673602e-08,1.75,1230.4863910557744,470.41893332986
8,3.125,5.2378889438248524e-08,2.215105061501472e-08,2.0,2023.1032993813565,764.4444289105083
9,3.375,1.8582496622151632e-08,1.4557306557754152e-08,2.25,3525.5290709337264,1450.3045355734712
10,3.625,6.998545824701618e-08,3.804377931533717e-08,2.5,7684.175684277119,3481.5899960963416
11,3.875,1.0286260110372611e-07,6.529791698580894e-08,2.75,11787.568236849744,4998.831486591251
12,4.125,1.819979863364037e-07,1.312464558102641e-07,3.0,22606.86462143189,8260.65463711318
13,4.375,2.752134838852497e-07,1.93723921518409e-07,3.25,39963.638461954935,9280.02738808548
14,4.625,2.765435648418261e-07,2.374059654783698e-07,3.5,92718.64198644728,45599.90120075697
15,4.875,2.212480342938651e-07,2.091034378894601e-07,3.75,169082.6400310262,117341.27620523253
16,5.125,6.290852740204747e-07,5.632505430129994e-07,4.0,398737.3786407421,306999.7324589591
