 Parameters used:

First geneneration spectra extracted for
excitation energies between 10023.-  -37. keV
corresponding to y-channels   113 -   16
 Number of spectra=   98
 Ax0 = -1944.0 Ax1 =   120.0 Ay0 = -1696.8 Ay1 =   103.7
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 1 Areacorr.= 1
 Experimental lower gamma threshold:      300.0 keV (ch=  19)
 Upper threshold for statistical gammas:  430.0 keV (ch=  20)
 Average energy entry point in g.s. band:   50.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 50  3489.     1088.        0.     1088. 2.22    1000  0.00  1.00  2.46  1.00  2.22
 49  3385.     1131.        0.     1131. 2.16    1000  0.00  1.00  2.34  1.00  2.16
 48  3282.     1136.        0.     1136. 2.09    1000  0.00  1.00  2.34  1.00  2.09
 47  3178.     1109.        0.     1109. 2.02    1000  0.00  1.00  2.29  1.00  2.02
 46  3074.     1231.        0.     1231. 2.00    1000  0.00  1.00  2.17  1.00  2.00
 45  2971.     1104.        0.     1104. 1.98    1000  0.00  1.00  2.24  1.00  1.98
 44  2867.     1009.        0.     1009. 1.95    1000  0.00  1.00  2.24  1.00  1.95
 43  2763.     1125.        0.     1125. 1.98    1000  0.00  1.00  2.27  1.00  1.98
 42  2659.      967.        0.      967. 1.78    1000  0.00  1.00  2.07  1.00  1.78
 41  2556.      983.        0.      983. 1.76    1000  0.00  1.00  2.05  1.00  1.76
 40  2452.      997.        0.      997. 1.68    1000  0.00  1.00  1.88  1.00  1.68
 39  2348.      872.        0.      872. 1.64    1000  0.00  1.00  1.91  1.00  1.64
 38  2244.     1028.        0.     1028. 1.64    1000  0.00  1.00  1.77  1.00  1.64
 37  2141.      990.        0.      990. 1.62    1000  0.00  1.00  1.87  1.00  1.62
 36  2037.     1006.        0.     1006. 1.61    1000  0.00  1.00  1.87  1.00  1.61
 35  1933.      981.        0.      981. 1.62    1000  0.00  1.00  1.91  1.00  1.62
 34  1830.      998.        0.      998. 1.59    1000  0.00  1.00  1.84  1.00  1.59
 33  1726.      894.        0.      894. 1.63    1000  0.00  1.00  1.83  1.00  1.63
 32  1622.      901.        0.      901. 1.69    1000  0.00  1.00  1.93  1.00  1.69
 31  1518.      929.        0.      929. 1.57    1000  0.00  1.00  1.78  1.00  1.57
 30  1415.      906.        0.      906. 1.52    1000  0.00  1.00  1.70  1.00  1.52
 29  1311.     1088.        0.     1088. 1.65    1000  0.00  1.00  1.71  1.00  1.65
 28  1207.      986.        0.      986. 1.52    1000  0.00  1.00  1.59  1.00  1.52
 27  1104.      753.        0.      753. 1.49    1000  0.00  1.00  1.56  1.00  1.49
 26  1000.      753.        0.      753. 1.34    1000  0.00  1.00  1.41  1.00  1.34
 25   896.      666.        0.      666. 1.22    1000  0.00  1.00  1.29  1.00  1.22
 24   792.      535.        0.      535. 1.07    1000  0.00  1.00  1.15  1.00  1.07
 23   689.      457.        0.      457. 0.99    1000  0.00  1.00  1.07  1.00  0.99
 22   585.      250.        0.      250. 0.88    1000  0.00  1.00  0.96  1.00  0.88
 21   481.      191.        0.      191. 0.73    1000  0.00  1.00  0.81  1.00  0.73
 20   378.      150.        0.      150. 0.66    1000  0.00  1.00  0.76  1.00  0.66
 19   274.      247.        0.      247. 0.47    1000  0.00  1.00  0.58  1.00  0.47
 18   170.      157.        0.      157. 0.43    1000  0.00  1.00  0.43  1.00  0.43
 17    66.        0.        0.        0. 0.00    1000  0.00  0.00  0.00  0.00  0.00
 16   -37.        0.        0.        0. 0.00    1000  0.00  0.00  0.00  0.00  0.00

Iteration number:   2
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
113 10023.      231.      190.       41. 5.60    1000  0.98  6.67  5.72  5.60  5.60
112  9920.      229.      201.       28. 4.13    1000  0.85 12.28  4.18  8.06  4.13
111  9816.      250.      204.       46. 5.49    1000  0.96  5.44  5.77  5.49  5.49
110  9712.      268.      216.       52. 5.15    1000  0.98  5.26  5.38  5.15  5.15
109  9609.      297.      237.       60. 4.94    1000  0.89  4.36  5.34  4.94  4.94
108  9505.      379.      299.       80. 4.75    1000  0.90  4.08  5.19  4.75  4.75
107  9401.      336.      265.       71. 4.71    1000  0.91  4.94  4.90  4.71  4.71
106  9297.      339.      275.       63. 5.35    1000  0.96  5.22  5.62  5.35  5.35
105  9194.      355.      281.       74. 4.81    1000  0.92  4.23  5.22  4.81  4.81
104  9090.      421.      337.       84. 5.00    1000  0.93  4.52  5.37  5.00  5.00
103  8986.      399.      321.       78. 5.09    1000  0.95  5.35  5.30  5.09  5.09
102  8883.      425.      335.       90. 4.73    1000  0.90  5.17  4.88  4.73  4.73
101  8779.      427.      349.       78. 5.46    1000  1.07  5.68  5.70  5.46  5.46
100  8675.      553.      441.      112. 4.94    1000  1.02  5.67  5.06  4.94  4.94
 99  8571.      562.      453.      109. 5.17    1000  1.04  6.20  5.27  5.17  5.17
 98  8468.      613.      499.      114. 5.37    1000  1.12  6.66  5.46  5.37  5.37
 97  8364.      592.      477.      115. 5.14    1000  1.06  5.82  5.27  5.14  5.14
 96  8260.      598.      484.      114. 5.24    1000  1.08  5.07  5.54  5.24  5.24
 95  8156.      626.      497.      129. 4.85    1000  1.02  4.34  5.22  4.85  4.85
 94  8053.      618.      485.      133. 4.64    1000  1.00  5.15  4.79  4.64  4.64
 93  7949.      684.      543.      142. 4.83    1000  1.06  4.70  5.11  4.83  4.83
 92  7845.      741.      585.      156. 5.09    1000  1.15  5.21  5.25  4.76  5.09
 91  7742.      760.      551.      209. 5.24    1000  1.15  3.37  5.66  3.64  5.24
 90  7638.      771.      609.      162. 4.77    1000  1.05  4.42  5.09  4.77  4.77
 89  7534.      862.      682.      180. 4.79    1000  1.12  5.05  4.99  4.79  4.79
 88  7430.      867.      676.      191. 5.04    1000  1.15  4.90  5.23  4.54  5.04
 87  7327.      906.      702.      204. 4.82    1000  1.15  4.41  5.10  4.45  4.82
 86  7223.     1049.      806.      243. 5.09    1000  1.15  4.67  5.25  4.31  5.09
 85  7119.     1076.      825.      251. 4.29    1000  1.13  4.84  4.43  4.29  4.29
 84  7016.     1039.      762.      277. 4.76    1000  1.15  3.91  4.98  3.75  4.76
 83  6912.     1148.      842.      306. 4.41    1000  1.15  4.11  4.60  3.75  4.41
 82  6808.     1152.      889.      264. 4.37    1000  1.15  4.95  4.53  4.37  4.37
 81  6704.     1229.      892.      338. 4.37    1000  1.15  3.99  4.55  3.64  4.37
 80  6601.     1268.      896.      371. 4.54    1000  1.15  3.78  4.71  3.41  4.54
 79  6497.     1284.      948.      335. 4.13    1000  1.15  4.29  4.31  3.83  4.13
 78  6393.     1291.      911.      380. 4.11    1000  1.15  3.90  4.24  3.39  4.11
 77  6290.     1336.      942.      393. 4.22    1000  1.15  3.61  4.45  3.40  4.22
 76  6186.     1423.     1027.      397. 4.01    1000  1.15  4.23  4.14  3.59  4.01
 75  6082.     1459.     1031.      428. 3.72    1000  1.15  3.77  3.94  3.41  3.72
 74  5978.     1500.     1075.      425. 3.84    1000  1.15  3.86  4.07  3.53  3.84
 73  5875.     1438.     1013.      425. 3.90    1000  1.15  3.83  4.08  3.39  3.90
 72  5771.     1408.     1016.      392. 3.65    1000  1.15  4.46  3.76  3.59  3.65
 71  5667.     1455.     1030.      425. 3.58    1000  1.15  3.91  3.76  3.42  3.58
 70  5564.     1426.      950.      476. 3.76    1000  1.15  3.55  3.88  3.00  3.76
 69  5460.     1192.      818.      374. 3.19    1000  1.02  3.70  3.33  3.19  3.19
 68  5356.     1130.      760.      371. 3.05    1000  0.99  3.32  3.25  3.05  3.05
 67  5252.     1024.      684.      339. 3.02    1000  0.96  3.02  3.32  3.02  3.02
 66  5149.     1105.      720.      384. 2.87    1000  0.93  3.00  3.13  2.87  2.87
 65  5045.     1090.      692.      398. 2.74    1000  0.89  2.98  2.95  2.74  2.74
 64  4941.     1017.      630.      386. 2.63    1000  0.85  2.88  2.82  2.63  2.63
 63  4837.     1070.      696.      374. 2.86    1000  0.96  3.09  3.09  2.86  2.86
 62  4734.      970.      610.      360. 2.57    1000  0.85  2.80  2.82  2.70  2.57
 61  4630.     1075.      665.      410. 2.59    1000  0.85  2.75  2.84  2.62  2.59
 60  4526.     1059.      675.      385. 2.75    1000  0.92  2.97  2.99  2.75  2.75
 59  4423.      947.      593.      353. 2.68    1000  0.91  2.97  2.88  2.68  2.68
 58  4319.     1027.      614.      413. 2.49    1000  0.88  2.80  2.67  2.49  2.49
 57  4215.     1015.      632.      384. 2.32    1000  0.85  3.33  2.41  2.65  2.32
 56  4111.     1007.      593.      414. 2.43    1000  0.86  2.70  2.62  2.43  2.43
 55  4008.     1094.      667.      427. 2.33    1000  0.85  2.79  2.55  2.56  2.33
 54  3904.      972.      578.      394. 2.33    1000  0.85  2.80  2.51  2.47  2.33
 53  3800.     1026.      610.      416. 2.25    1000  0.85  2.55  2.53  2.47  2.25
 52  3697.     1031.      597.      434. 2.28    1000  0.85  2.65  2.47  2.37  2.28
 51  3593.      996.      574.      422. 2.36    1000  0.91  2.55  2.60  2.36  2.36
 50  3489.     1088.      622.      466. 2.22    1000  0.85  2.49  2.46  2.33  2.22
 49  3385.     1131.      627.      504. 2.16    1000  0.85  2.50  2.34  2.24  2.16
 48  3282.     1136.      629.      506. 2.09    1000  0.85  2.36  2.34  2.24  2.09
 47  3178.     1109.      615.      494. 2.02    1000  0.85  2.34  2.29  2.24  2.02
 46  3074.     1231.      639.      592. 2.00    1000  0.85  2.32  2.17  2.08  2.00
 45  2971.     1104.      563.      541. 1.98    1000  0.85  2.12  2.24  2.04  1.98
 44  2867.     1009.      534.      475. 1.95    1000  0.85  2.17  2.24  2.12  1.95
 43  2763.     1125.      557.      568. 1.98    1000  0.87  2.03  2.27  1.98  1.98
 42  2659.      967.      455.      512. 1.78    1000  0.85  1.92  2.07  1.89  1.78
 41  2556.      983.      453.      529. 1.76    1000  0.85  1.89  2.05  1.86  1.76
 40  2452.      997.      550.      447. 1.68    1000  0.85  2.47  1.88  2.23  1.68
 39  2348.      872.      488.      384. 1.64    1000  0.85  2.32  1.91  2.27  1.64
 38  2244.     1028.      537.      491. 1.64    1000  0.85  2.42  1.77  2.09  1.64
 37  2141.      990.      535.      455. 1.62    1000  0.85  2.26  1.87  2.17  1.62
 36  2037.     1006.      541.      465. 1.61    1000  0.85  2.19  1.87  2.16  1.61
 35  1933.      981.      514.      467. 1.62    1000  0.85  2.09  1.91  2.10  1.62
 34  1830.      998.      493.      505. 1.59    1000  0.85  2.03  1.84  1.97  1.59
 33  1726.      894.      409.      485. 1.63    1000  0.85  1.96  1.83  1.84  1.63
 32  1622.      901.      401.      501. 1.69    1000  0.85  1.86  1.93  1.80  1.69
 31  1518.      929.      385.      545. 1.57    1000  0.85  1.80  1.78  1.71  1.57
 30  1415.      906.      350.      556. 1.52    1000  0.85  1.77  1.70  1.63  1.52
 29  1311.     1088.      462.      627. 1.65    1000  0.85  1.74  1.71  1.74  1.65
 28  1207.      986.      388.      598. 1.52    1000  0.85  1.65  1.59  1.65  1.52
 27  1104.      753.      281.      472. 1.49    1000  0.85  1.60  1.56  1.60  1.49
 26  1000.      753.      249.      504. 1.34    1000  0.85  1.49  1.41  1.49  1.34
 25   896.      666.      188.      477. 1.22    1000  0.85  1.39  1.29  1.39  1.22
 24   792.      535.      117.      418. 1.07    1000  0.85  1.28  1.15  1.28  1.07
 23   689.      457.       70.      387. 0.99    1000  0.85  1.18  1.07  1.18  0.99
 22   585.      250.       37.      213. 0.88    1000  0.85  1.17  0.96  1.17  0.88
 21   481.      191.       14.      177. 0.73    1000  0.85  1.08  0.81  1.08  0.73
 20   378.      150.        0.      150. 0.66    1000  0.85  1.00  0.76  1.00  0.66
 19   274.      247.        0.      247. 0.47    1000  0.85  1.00  0.58  1.00  0.47
 18   170.      157.        0.      157. 0.43    1000  0.85  1.00  0.43  1.00  0.43
 17    66.        0.        0.        0. 0.00    1000  0.85  0.00  0.00  0.00  0.00
 16   -37.        0.        0.        0. 0.00    1000  0.85  0.00  0.00  0.00  0.00

Iteration number:   3
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
113 10023.      231.      190.       41. 5.60    1000  1.05  6.92  5.72  5.60  5.60
112  9920.      229.      174.       55. 4.13    1000  0.91  5.10  4.18  4.13  4.13
111  9816.      250.      204.       46. 5.49    1000  1.03  5.79  5.77  5.49  5.49
110  9712.      268.      216.       52. 5.15    1000  1.08  5.33  5.38  5.15  5.15
109  9609.      297.      237.       60. 4.94    1000  0.95  4.41  5.34  4.94  4.94
108  9505.      379.      299.       80. 4.75    1000  1.15  4.29  5.19  4.75  4.75
107  9401.      336.      264.       72. 4.71    1000  1.15  5.15  4.90  4.68  4.71
106  9297.      339.      275.       63. 5.35    1000  1.05  5.40  5.62  5.35  5.35
105  9194.      355.      281.       74. 4.81    1000  1.15  4.40  5.22  4.78  4.81
104  9090.      421.      337.       84. 5.00    1000  1.00  4.52  5.37  5.00  5.00
103  8986.      399.      321.       78. 5.09    1000  1.08  5.45  5.30  5.09  5.09
102  8883.      425.      335.       90. 4.73    1000  1.06  5.33  4.88  4.73  4.73
101  8779.      427.      296.      130. 5.46    1000  1.15  3.43  5.70  3.27  5.46
100  8675.      553.      441.      112. 4.94    1000  1.14  5.86  5.06  4.94  4.94
 99  8571.      562.      426.      136. 5.17    1000  1.15  4.99  5.27  4.12  5.17
 98  8468.      613.      373.      240. 5.37    1000  1.15  2.88  5.46  2.55  5.37
 97  8364.      592.      449.      143. 5.14    1000  1.15  4.66  5.27  4.13  5.14
 96  8260.      598.      414.      184. 5.24    1000  1.15  3.31  5.54  3.24  5.24
 95  8156.      626.      446.      180. 4.85    1000  1.15  3.32  5.22  3.47  4.85
 94  8053.      618.      475.      143. 4.64    1000  1.15  4.96  4.79  4.32  4.64
 93  7949.      684.      471.      213. 4.83    1000  1.15  3.31  5.11  3.21  4.83
 92  7845.      741.      508.      232. 5.09    1000  1.15  3.38  5.25  3.19  5.09
 91  7742.      760.      328.      432. 5.24    1000  1.15  1.78  5.66  1.76  5.24
 90  7638.      771.      609.      162. 4.77    1000  1.12  4.51  5.09  4.77  4.77
 89  7534.      862.      593.      268. 4.79    1000  1.15  3.37  4.99  3.21  4.79
 88  7430.      867.      602.      265. 5.04    1000  1.15  3.55  5.23  3.28  5.04
 87  7327.      906.      584.      322. 4.82    1000  1.15  2.89  5.10  2.81  4.82
 86  7223.     1049.      804.      245. 5.09    1000  1.15  4.58  5.25  4.28  5.09
 85  7119.     1076.      519.      557. 4.29    1000  1.15  2.05  4.43  1.93  4.29
 84  7016.     1039.      612.      427. 4.76    1000  1.15  2.54  4.98  2.44  4.76
 83  6912.     1148.      774.      374. 4.41    1000  1.15  3.32  4.60  3.07  4.41
 82  6808.     1152.      864.      288. 4.37    1000  1.15  4.46  4.53  4.00  4.37
 81  6704.     1229.      556.      674. 4.37    1000  1.15  1.96  4.55  1.82  4.37
 80  6601.     1268.      831.      437. 4.54    1000  1.15  3.16  4.71  2.90  4.54
 79  6497.     1284.      812.      471. 4.13    1000  1.15  2.98  4.31  2.72  4.13
 78  6393.     1291.      675.      617. 4.11    1000  1.15  2.30  4.24  2.09  4.11
 77  6290.     1336.      861.      475. 4.22    1000  1.15  2.99  4.45  2.81  4.22
 76  6186.     1423.      905.      518. 4.01    1000  1.15  3.14  4.14  2.75  4.01
 75  6082.     1459.      832.      627. 3.72    1000  1.15  2.57  3.94  2.33  3.72
 74  5978.     1500.      828.      672. 3.84    1000  1.15  2.46  4.07  2.23  3.84
 73  5875.     1438.      853.      585. 3.90    1000  1.15  2.76  4.08  2.46  3.90
 72  5771.     1408.      903.      505. 3.65    1000  1.15  3.35  3.76  2.79  3.65
 71  5667.     1455.      779.      676. 3.58    1000  1.15  2.38  3.76  2.15  3.58
 70  5564.     1426.      902.      524. 3.76    1000  1.15  3.17  3.88  2.72  3.76
 69  5460.     1192.      793.      399. 3.19    1000  1.15  3.52  3.33  2.99  3.19
 68  5356.     1130.      743.      387. 3.05    1000  1.15  3.21  3.25  2.92  3.05
 67  5252.     1024.      684.      339. 3.02    1000  1.02  3.06  3.32  3.02  3.02
 66  5149.     1105.      720.      384. 2.87    1000  1.05  3.11  3.13  2.87  2.87
 65  5045.     1090.      692.      398. 2.74    1000  0.97  3.09  2.95  2.74  2.74
 64  4941.     1017.      630.      386. 2.63    1000  0.97  2.95  2.82  2.63  2.63
 63  4837.     1070.      696.      374. 2.86    1000  1.09  3.16  3.09  2.86  2.86
 62  4734.      970.      592.      378. 2.57    1000  0.91  2.72  2.82  2.57  2.57
 61  4630.     1075.      660.      416. 2.59    1000  0.91  2.77  2.84  2.59  2.59
 60  4526.     1059.      675.      385. 2.75    1000  0.97  3.00  2.99  2.75  2.75
 59  4423.      947.      593.      353. 2.68    1000  0.97  3.02  2.88  2.68  2.68
 58  4319.     1027.      614.      413. 2.49    1000  0.97  2.84  2.67  2.49  2.49
 57  4215.     1015.      579.      437. 2.32    1000  0.91  2.90  2.41  2.32  2.32
 56  4111.     1007.      593.      414. 2.43    1000  0.96  2.71  2.62  2.43  2.43
 55  4008.     1094.      625.      469. 2.33    1000  0.90  2.55  2.55  2.33  2.33
 54  3904.      972.      555.      417. 2.33    1000  0.92  2.68  2.51  2.33  2.33
 53  3800.     1026.      570.      455. 2.25    1000  0.88  2.34  2.53  2.25  2.25
 52  3697.     1031.      580.      451. 2.28    1000  0.92  2.56  2.47  2.28  2.28
 51  3593.      996.      574.      422. 2.36    1000  1.02  2.58  2.60  2.36  2.36
 50  3489.     1088.      597.      491. 2.22    1000  0.90  2.36  2.46  2.22  2.22
 49  3385.     1131.      607.      524. 2.16    1000  0.92  2.41  2.34  2.16  2.16
 48  3282.     1136.      591.      545. 2.09    1000  0.91  2.19  2.34  2.09  2.09
 47  3178.     1109.      561.      548. 2.02    1000  0.85  2.11  2.29  2.02  2.02
 46  3074.     1231.      617.      614. 2.00    1000  0.93  2.25  2.17  2.00  2.00
 45  2971.     1104.      547.      557. 1.98    1000  0.92  2.07  2.24  1.98  1.98
 44  2867.     1009.      492.      517. 1.95    1000  0.94  2.02  2.24  1.95  1.95
 43  2763.     1125.      557.      568. 1.98    1000  1.03  2.06  2.27  1.98  1.98
 42  2659.      967.      423.      543. 1.78    1000  0.96  1.83  2.07  1.78  1.78
 41  2556.      983.      425.      557. 1.76    1000  1.02  1.83  2.05  1.76  1.76
 40  2452.      997.      403.      593. 1.68    1000  1.12  1.90  1.88  1.68  1.68
 39  2348.      872.      342.      531. 1.64    1000  0.97  1.72  1.91  1.64  1.64
 38  2244.     1028.      399.      628. 1.64    1000  1.12  1.86  1.77  1.64  1.64
 37  2141.      990.      381.      610. 1.62    1000  0.97  1.73  1.87  1.62  1.62
 36  2037.     1006.      382.      624. 1.61    1000  0.92  1.68  1.87  1.61  1.61
 35  1933.      981.      375.      606. 1.62    1000  0.87  1.65  1.91  1.62  1.62
 34  1830.      998.      371.      627. 1.59    1000  0.88  1.66  1.84  1.59  1.59
 33  1726.      894.      345.      550. 1.63    1000  0.98  1.75  1.83  1.63  1.63
 32  1622.      901.      367.      534. 1.69    1000  0.91  1.77  1.93  1.69  1.69
 31  1518.      929.      337.      592. 1.57    1000  0.93  1.68  1.78  1.57  1.57
 30  1415.      906.      312.      594. 1.52    1000  0.95  1.67  1.70  1.52  1.52
 29  1311.     1088.      427.      661. 1.65    1000  0.90  1.65  1.71  1.65  1.65
 28  1207.      986.      339.      647. 1.52    1000  0.88  1.52  1.59  1.52  1.52
 27  1104.      753.      252.      502. 1.49    1000  0.85  1.50  1.56  1.50  1.49
 26  1000.      753.      203.      550. 1.34    1000  0.85  1.37  1.41  1.37  1.34
 25   896.      666.      152.      514. 1.22    1000  0.85  1.30  1.29  1.30  1.22
 24   792.      535.       89.      446. 1.07    1000  0.85  1.20  1.15  1.20  1.07
 23   689.      457.       55.      403. 0.99    1000  0.85  1.14  1.07  1.14  0.99
 22   585.      250.       32.      217. 0.88    1000  0.85  1.15  0.96  1.15  0.88
 21   481.      191.       12.      179. 0.73    1000  0.85  1.07  0.81  1.07  0.73
 20   378.      150.        0.      150. 0.66    1000  0.85  1.00  0.76  1.00  0.66
 19   274.      247.        0.      247. 0.47    1000  0.85  1.00  0.58  1.00  0.47
 18   170.      157.        0.      157. 0.43    1000  0.85  1.00  0.43  1.00  0.43
 17    66.        0.        0.        0. 0.00    1000  0.85  0.00  0.00  0.00  0.00
 16   -37.        0.        0.        0. 0.00    1000  0.85  0.00  0.00  0.00  0.00

Iteration number:   4
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
113 10023.      231.      190.       41. 5.60    1000  1.06  6.92  5.72  5.60  5.60
112  9920.      229.      174.       55. 4.13    1000  0.89  5.06  4.18  4.13  4.13
111  9816.      250.      204.       46. 5.49    1000  1.04  5.75  5.77  5.49  5.49
110  9712.      268.      216.       52. 5.15    1000  1.09  5.35  5.38  5.15  5.15
109  9609.      297.      237.       60. 4.94    1000  0.96  4.41  5.34  4.94  4.94
108  9505.      379.      292.       87. 4.75    1000  1.15  3.99  5.19  4.36  4.75
