# E[keV] values
0.000000000000000000e+00 6.752528737457195973e+01
2.500000000000000000e+02 5.572454320688624563e+01
5.000000000000000000e+02 5.337031011783086853e+01
7.500000000000000000e+02 8.473669015133346250e+01
1.000000000000000000e+03 9.319258249220258961e+01
1.250000000000000000e+03 1.204295580621920720e+02
1.500000000000000000e+03 1.584342310729701353e+02
1.750000000000000000e+03 1.652231210224151994e+02
2.000000000000000000e+03 2.103246372493453009e+02
2.250000000000000000e+03 2.181073169469051720e+02
2.500000000000000000e+03 3.845467304941469138e+02
2.750000000000000000e+03 4.373508004121649151e+02
3.000000000000000000e+03 5.657848482494413247e+02
3.250000000000000000e+03 5.568844190046780795e+02
3.500000000000000000e+03 1.512660376403739292e+03
3.750000000000000000e+03 1.812747353346692762e+03
