# E[keV] values
1.125000000000000000e+03 3.011149837480236213e-08
1.375000000000000000e+03 3.482345045988528051e-08
1.625000000000000000e+03 3.998476422117197033e-08
1.875000000000000000e+03 5.326958873277241227e-08
2.125000000000000000e+03 8.366495659237361757e-08
2.375000000000000000e+03 5.504841241354299482e-08
2.625000000000000000e+03 6.308766640609894333e-08
2.875000000000000000e+03 5.412396362380173544e-08
3.125000000000000000e+03 4.098045575531328469e-08
3.375000000000000000e+03 1.288421366149177627e-08
3.625000000000000000e+03 3.310188189405914380e-08
3.875000000000000000e+03 4.853342212853119221e-08
4.125000000000000000e+03 1.269028627450505879e-07
4.375000000000000000e+03 2.386068829646150526e-07
4.625000000000000000e+03 2.423509431862764441e-07
4.875000000000000000e+03 4.741814428556606310e-07
