# E[keV] values
0.000000000000000000e+00 7.422841835583447789e+01
2.500000000000000000e+02 3.951222431449759398e+01
5.000000000000000000e+02 7.921705869921629528e+01
7.500000000000000000e+02 1.709840366834509950e+02
1.000000000000000000e+03 2.771637671463445827e+02
1.250000000000000000e+03 5.239089134831618821e+02
1.500000000000000000e+03 8.995550160618458904e+02
1.750000000000000000e+03 1.632009114410433540e+03
2.000000000000000000e+03 3.024875737151866360e+03
2.250000000000000000e+03 4.251651908391646430e+03
2.500000000000000000e+03 9.909863040093956442e+03
2.750000000000000000e+03 1.125092322760197931e+04
3.000000000000000000e+03 3.141968468254085019e+04
3.250000000000000000e+03 5.005603868596455868e+04
3.500000000000000000e+03 1.814222971679581970e+05
3.750000000000000000e+03 8.707032936908636475e+04
