# E[keV] values
0.000000000000000000e+00 3.483080239640172238e+01
2.500000000000000000e+02 3.904014819692923766e+01
5.000000000000000000e+02 8.170681513099860638e+01
7.500000000000000000e+02 1.481388205412920627e+02
1.000000000000000000e+03 2.570023152090764711e+02
1.250000000000000000e+03 4.968772570789465135e+02
1.500000000000000000e+03 7.535761978281433358e+02
1.750000000000000000e+03 1.168153937544463361e+03
2.000000000000000000e+03 1.891085521693737064e+03
2.250000000000000000e+03 3.188296496536898303e+03
2.500000000000000000e+03 7.418170947818765853e+03
2.750000000000000000e+03 1.360693001199486753e+04
3.000000000000000000e+03 3.077368793472036123e+04
3.250000000000000000e+03 3.438934268288048770e+04
3.500000000000000000e+03 1.341309785388924065e+05
3.750000000000000000e+03 2.238172805019121151e+05
