# E[keV] values
1.100000000000000000e+03 3.272108393093526708e-09
1.300000000000000000e+03 3.312050474181315876e-09
1.500000000000000000e+03 2.457392955518454434e-09
1.700000000000000000e+03 2.299357714265855766e-09
1.900000000000000000e+03 2.403890238985537727e-09
2.100000000000000000e+03 2.157847136686973343e-09
2.300000000000000000e+03 1.253055980226921795e-09
2.500000000000000000e+03 1.095485592042448011e-09
2.700000000000000000e+03 7.441446235683725638e-10
2.900000000000000000e+03 7.354750629020288085e-10
3.100000000000000000e+03 2.750915138431232437e-10
3.300000000000000000e+03 2.658205942805289887e-13
3.500000000000000000e+03 6.032796947314936268e-11
3.700000000000000000e+03 8.467537815092890562e-11
3.900000000000000000e+03 1.759201352770178552e-10
4.100000000000000000e+03 1.301714476761668394e-11
4.300000000000000000e+03 2.579911306179786469e-10
4.500000000000000000e+03 2.656710648529343823e-10
4.700000000000000000e+03 4.334056354752817463e-10
4.900000000000000000e+03 6.464542193396021156e-11
5.100000000000000000e+03 9.324309708717513151e-14
5.300000000000000000e+03 9.620573812928105026e-10
5.500000000000000000e+03 2.817679855140180240e-09
