# E[keV] values
0.000000000000000000e+00 4.371526665027943181e+01
2.000000000000000000e+02 3.497731542245230685e+01
4.000000000000000000e+02 5.444174946924881908e+01
6.000000000000000000e+02 1.428694898437078962e+02
8.000000000000000000e+02 1.892268091807256951e+02
1.000000000000000000e+03 2.723651295906134351e+02
1.200000000000000000e+03 6.615746075655300729e+02
1.400000000000000000e+03 8.347443974330936953e+02
1.600000000000000000e+03 1.170615480220362770e+03
1.800000000000000000e+03 1.507138416198394907e+03
2.000000000000000000e+03 2.849466194074840587e+03
2.200000000000000000e+03 3.577361725801782086e+03
2.400000000000000000e+03 4.180309532220074288e+03
2.600000000000000000e+03 1.124165861934525310e+04
2.800000000000000000e+03 1.473622652579619171e+04
3.000000000000000000e+03 2.456429295089640073e+04
3.200000000000000000e+03 3.496143734808370937e+04
3.400000000000000000e+03 3.850931838877385599e+04
3.600000000000000000e+03 9.854363344793854048e+04
3.800000000000000000e+03 1.640836788360641804e+05
4.000000000000000000e+03 1.658707205630618555e+05
4.200000000000000000e+03 6.801459653610066744e+05
4.400000000000000000e+03 6.824495063612556551e+05
