# E[keV] values
1.100000000000000000e+03 3.262302277718952285e-08
1.300000000000000000e+03 4.945174858310089296e-08
1.500000000000000000e+03 6.196852307680246988e-08
1.700000000000000000e+03 6.160018570534715720e-08
1.900000000000000000e+03 7.250826750016151271e-08
2.100000000000000000e+03 8.896259570579277141e-08
2.300000000000000000e+03 8.672141836206172564e-08
2.500000000000000000e+03 8.370627398947866949e-08
2.700000000000000000e+03 6.919159809437102374e-08
2.900000000000000000e+03 6.726104706219509582e-08
3.100000000000000000e+03 5.249032128034518316e-08
3.300000000000000000e+03 6.052610123511232566e-11
3.500000000000000000e+03 1.797334689305785158e-08
3.700000000000000000e+03 2.743302410839910355e-08
3.900000000000000000e+03 6.083822187193842859e-08
4.100000000000000000e+03 5.939920517147355718e-09
4.300000000000000000e+03 1.707750237142957868e-07
4.500000000000000000e+03 1.838001881148671291e-07
4.700000000000000000e+03 3.884176744173994793e-07
4.900000000000000000e+03 7.403722830042805089e-08
5.100000000000000000e+03 1.028983063177074387e-10
5.300000000000000000e+03 8.282997106527841312e-07
5.500000000000000000e+03 2.174780896401703328e-06
