# E[keV] values
0.000000000000000000e+00 6.939463176123611277e+01
2.000000000000000000e+02 1.968041715417330906e+01
4.000000000000000000e+02 6.051747266839515760e+01
6.000000000000000000e+02 1.852851264418856374e+02
8.000000000000000000e+02 2.794962068898014422e+02
1.000000000000000000e+03 3.382107791634497289e+02
1.200000000000000000e+03 5.840706391032101692e+02
1.400000000000000000e+03 7.009539343544695384e+02
1.600000000000000000e+03 1.141982276661015703e+03
1.800000000000000000e+03 1.483086509034915935e+03
2.000000000000000000e+03 2.282746364131673090e+03
2.200000000000000000e+03 3.519172619930895507e+03
2.400000000000000000e+03 4.836190834309013553e+03
2.600000000000000000e+03 1.136314508442599072e+04
2.800000000000000000e+03 9.912591023459021017e+03
3.000000000000000000e+03 2.141855762180628517e+04
3.200000000000000000e+03 4.633086854837618739e+04
3.400000000000000000e+03 5.623476521303322806e+04
3.600000000000000000e+03 1.021509394989950379e+05
3.800000000000000000e+03 2.051945661852956691e+05
4.000000000000000000e+03 1.153679724736365897e+05
4.200000000000000000e+03 8.586391735151502071e+05
4.400000000000000000e+03 1.999754100789606804e+06
