# E[keV] values
0.000000000000000000e+00 4.450490871939796023e+01
2.000000000000000000e+02 2.882893113534313301e+01
4.000000000000000000e+02 5.818411314226988651e+01
6.000000000000000000e+02 1.279891897470202053e+02
8.000000000000000000e+02 2.143111240294484503e+02
1.000000000000000000e+03 2.964193825706809093e+02
1.200000000000000000e+03 5.278686671732477862e+02
1.400000000000000000e+03 6.276417780907171391e+02
1.600000000000000000e+03 1.063361187669453329e+03
1.800000000000000000e+03 1.371960283434771782e+03
2.000000000000000000e+03 2.240856829504106827e+03
2.200000000000000000e+03 3.705092133105173161e+03
2.400000000000000000e+03 6.181173069726230096e+03
2.600000000000000000e+03 9.058349780379812728e+03
2.800000000000000000e+03 1.159913722652780962e+04
3.000000000000000000e+03 2.102958617327060347e+04
3.200000000000000000e+03 3.758863189522168977e+04
3.400000000000000000e+03 2.658004662532029397e+04
3.600000000000000000e+03 1.226339318590912881e+05
3.800000000000000000e+03 2.022647020570311288e+05
4.000000000000000000e+03 2.327088366894919600e+05
4.200000000000000000e+03 1.063396651120897848e+06
4.400000000000000000e+03 9.499089702301170910e+05
