# E[keV] values
0.000000000000000000e+00 4.607098827650108319e+01
2.000000000000000000e+02 3.050957009282324961e+01
4.000000000000000000e+02 5.566606525390047011e+01
6.000000000000000000e+02 1.376676217163439446e+02
8.000000000000000000e+02 1.828970966633984006e+02
1.000000000000000000e+03 2.338397396534084010e+02
1.200000000000000000e+03 5.011275834199892074e+02
1.400000000000000000e+03 7.152622253182898930e+02
1.600000000000000000e+03 8.955350016518801795e+02
1.800000000000000000e+03 1.431565425281096850e+03
2.000000000000000000e+03 2.211196257136813983e+03
2.200000000000000000e+03 3.074968485309165317e+03
2.400000000000000000e+03 4.647965059304069655e+03
2.600000000000000000e+03 8.617132225320965517e+03
2.800000000000000000e+03 1.079860289984067276e+04
3.000000000000000000e+03 1.895486270632842206e+04
3.200000000000000000e+03 4.385011744912440918e+04
3.400000000000000000e+03 4.556187511682797776e+04
3.600000000000000000e+03 1.206072685801322659e+05
3.800000000000000000e+03 2.180685626723184541e+05
4.000000000000000000e+03 2.633091667933550780e+05
4.200000000000000000e+03 1.179316860239832662e+06
