# E[keV] values
1.100000000000000000e+03 2.324260136283652248e-08
1.300000000000000000e+03 2.816190797129285047e-08
1.500000000000000000e+03 3.240911497770405746e-08
1.700000000000000000e+03 4.728224296068957233e-08
1.900000000000000000e+03 5.038063331285611737e-08
2.100000000000000000e+03 6.486458929726950518e-08
2.300000000000000000e+03 6.135593023562289494e-08
2.500000000000000000e+03 6.264880492837696002e-08
2.700000000000000000e+03 6.040840801998969139e-08
2.900000000000000000e+03 6.724283345179765142e-08
3.100000000000000000e+03 3.222199643364414316e-08
3.300000000000000000e+03 2.065622804763961590e-11
3.500000000000000000e+03 9.013723044047678532e-09
3.700000000000000000e+03 4.769215069033759861e-08
3.900000000000000000e+03 7.517579395144488663e-08
4.100000000000000000e+03 5.834341052201588205e-09
4.300000000000000000e+03 3.145077812777643638e-07
4.500000000000000000e+03 3.341528864695676412e-07
4.700000000000000000e+03 2.124637540498567797e-07
4.900000000000000000e+03 7.523497115889349350e-08
5.100000000000000000e+03 5.316547766490156650e-10
5.300000000000000000e+03 1.883625246872821447e-06
5.500000000000000000e+03 8.444376210142773211e-06
