# E[keV] values
0.000000000000000000e+00 7.886925511724615490e+01
2.000000000000000000e+02 3.233949315107515332e+01
4.000000000000000000e+02 5.475133427642983008e+01
6.000000000000000000e+02 1.916986164507819126e+02
8.000000000000000000e+02 2.853092520142910757e+02
1.000000000000000000e+03 3.443364641633891097e+02
1.200000000000000000e+03 7.514930392141010316e+02
1.400000000000000000e+03 8.846405540976905968e+02
1.600000000000000000e+03 1.433796661131882274e+03
1.800000000000000000e+03 1.965663914445708542e+03
2.000000000000000000e+03 3.082581034489003287e+03
2.200000000000000000e+03 5.547949470022823334e+03
2.400000000000000000e+03 6.648883184922490727e+03
2.600000000000000000e+03 1.398665634663762285e+04
2.800000000000000000e+03 1.122791403524922316e+04
3.000000000000000000e+03 2.899523400119263169e+04
3.200000000000000000e+03 6.193058983788676414e+04
3.400000000000000000e+03 5.015415483250299440e+04
3.600000000000000000e+03 1.528078422340803954e+05
3.800000000000000000e+03 2.512403050601488794e+05
4.000000000000000000e+03 2.788209713964433176e+05
4.200000000000000000e+03 1.298559452742616879e+06
4.400000000000000000e+03 9.309831473799599335e+05
